Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
B. Golúz,Unión Comercio,"CF, RW, LW",28,100000,2026-12-31,20,1630,8,8.55,Colombia,Colombia,left,0,0,no
L. Ortíz,San Francisco,"LCB, RCB",31,100000,2026-12-31,3,293,0,0.54,Colombia,Colombia,right,177,71,no
A. Córdoba,Cerro Largo,"RAMF, RW, LAMF",28,100000,2026-12-31,19,601,1,0.85,Colombia,Colombia,right,0,0,no
C. Hernández,,"AMF, CF, RCMF",26,100000,,19,1259,1,1.81,Colombia,Colombia,right,0,0,no
M. Barragan,CD Universitario,"AMF, RCMF",27,100000,,10,417,0,0.3,Colombia,Colombia,right,184,71,no
A. Palmezano,UMECIT,"RCMF, LAMF, LCMF",27,100000,,6,522,1,0.17,Colombia,Colombia,right,173,0,no
F. García,,CF,24,100000,,10,534,2,3.43,Colombia,Colombia,right,177,72,no
E. Lescano,Bogotá,GK,22,100000,,2,191,0,0.0,Colombia,Colombia,right,183,0,no
Breiner Camilo,Confiança,"AMF, RW, LW",25,100000,2026-10-30,12,748,3,1.13,Colombia,Colombia,,174,0,yes
J. Martínez,Bogotá,"RWB, RW, CF",24,100000,,7,247,0,0.22,Colombia,Colombia,,0,0,no
J. Cortés,,"LAMF, LWF",25,100000,,6,146,0,0.06,Colombia,Colombia,,169,0,no
D. Ibarra,Tigres,"DMF, LCMF",25,100000,,2,39,0,0.0,Colombia,Colombia,right,0,0,no
R. Angulo,Deportes Quindío,"LW, RAMF, CF",24,100000,,20,903,3,0.98,Colombia,Colombia,,0,0,no
K. Angulo,Independiente,LCB,24,100000,2026-12-31,1,10,0,0.0,Colombia,Colombia,,189,75,no
C. Rodriguez,Leones,"LAMF, AMF",24,100000,,6,168,0,0.23,Colombia,Colombia,right,170,0,no
D. Barrios,Orsomarso,RCB,22,100000,,18,1549,2,1.28,Colombia,Colombia,,0,0,no
H. Angulo,Boca Juniors de Cali,"LB, LCMF",26,100000,,14,1054,0,0.0,Colombia,Colombia,left,192,0,no
J. Quintero,,"LB, LCB",27,100000,,13,924,0,0.01,Colombia,Colombia,,0,0,no
B. Blandón,,"RB, RWB",27,100000,,35,2733,2,3.29,Colombia,Colombia,right,179,81,no
S. Guerra,Barranquilla,GK,25,100000,,3,294,0,0.0,Colombia,Colombia,right,187,80,no
J. Urrutia,Isidro Metapán,"LWF, CF, LW",26,100000,,8,330,0,0.05,Colombia,Colombia,right,175,0,no
D. Ramírez,,"LCMF, RB, RCMF",25,100000,,7,412,0,0.0,Colombia,Colombia,right,172,0,no
R. Caraballo,Sarajevo,CF,22,100000,2029-06-30,12,564,1,1.26,Colombia,Colombia,right,182,80,no
J. Cabarcas,Makedonija GjP,"LCB, CB",24,100000,2028-06-30,6,535,0,0.27,Colombia,Colombia,,0,0,no
J. Vacca,Tacna Heroica,RCB,28,75000,2026-12-31,28,2510,2,1.82,Colombia,Colombia,right,186,79,no
F. Figueroa,Patriotas Boyacá,"RWF, LWF, RW",28,75000,,12,364,0,0.6,Venezuela,Venezuela,right,175,66,no
B. Caicedo,Atlético Bucaramanga,CF,25,75000,2027-12-31,15,1261,4,4.24,Colombia,Colombia,right,191,0,no
Yair Mena,Ferroviário,"RW, RAMF, RWF",25,75000,,30,2048,1,4.06,Colombia,Colombia,left,176,74,no
A. Gutiérrez,Deportivo Madryn,LCB,31,50000,2026-12-31,18,1725,1,1.74,Colombia,Colombia,right,192,0,no
J. Barriosnuevo,Atlético,LCB,35,50000,,32,3028,0,0.56,Colombia,Colombia,left,184,78,no
S. Rodríguez,,"DMF, RCMF, LDMF",33,50000,,26,1372,0,0.61,Colombia,Colombia,right,182,72,no
E. Balanta,Atlético,RCB,30,50000,,26,2284,1,0.73,Colombia,Colombia,,184,0,no
C. Riascos,,"RB, RWB",32,50000,,22,1548,0,0.69,Colombia,Colombia,right,178,74,no
