Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
J. Gómez,Eintracht Braunschweig,"CF, AMF, RW",24,900000,2027-06-30,34,1978,6,6.12,United States,"United States, Mexico",right,178,75,no
D. Dressel,Ulm,"LCMF, DMF",27,900000,2027-06-30,37,2774,2,2.95,Germany,Germany,left,186,76,no
M. Raab,Union Berlin,GK,27,900000,2026-06-30,34,3250,0,0.0,Germany,Germany,right,186,82,no
T. Goppel,Bali United,"RAMF, RW",29,900000,2027-06-30,35,2604,4,5.26,Netherlands,Netherlands,right,178,73,no
A. Condé,Elversberg,"LCMF, RCMF",29,900000,2028-06-30,37,3369,5,4.65,Germany,"Germany, Guinea",right,173,67,no
Č. Makreckis,Qarabag,"LCMF, LWB, RWB",26,900000,2029-06-30,32,1853,1,0.99,Germany,"Germany, Latvia",right,181,71,no
M. Ritter,Kaiserslautern,"DMF, LCMF",31,850000,2026-06-30,32,2785,6,4.68,Germany,Germany,right,173,72,no
J. Hettwer,Fortuna Düsseldorf,"RWF, RW, CF",23,800000,2030-06-30,26,680,1,2.42,Germany,Germany,right,184,73,no
A. Müller,Karlsruher SC,"DMF, CB",25,800000,2026-06-30,36,3222,2,2.39,Germany,Germany,right,173,70,no
B. Atik,Magdeburg,"LWF, AMF, CF",31,800000,,35,3176,19,18.44,Germany,"Germany, Türkiye",right,169,70,no
S. Klaas,Paderborn,"RCMF, LCMF",27,800000,,36,2468,9,6.49,Germany,Germany,right,180,71,no
F. Kleinhansl,Kaiserslautern,LB,25,800000,2026-06-30,36,3022,1,1.03,Germany,Germany,left,180,72,no
M. Breunig,Magdeburg,"CF, AMF",25,800000,2027-06-30,21,928,3,2.74,Germany,Germany,left,194,85,yes
R. Tachie,Magdeburg,"CF, RWF",27,800000,,33,2418,6,7.9,Germany,"Germany, Ghana",right,177,70,no
D. Reimann,Magdeburg,GK,29,800000,2029-06-30,37,3524,0,0.0,Germany,"Germany, Poland",right,186,84,no
D. Prokop,Olympiakos,"AMF, LW",29,800000,2028-06-30,25,1116,1,1.62,Austria,Austria,right,171,68,no
T. Müller,Magdeburg,RCB,32,750000,2028-06-30,29,2458,1,1.02,Germany,Germany,both,188,80,no
D. Kother,MSV Duisburg,"LW, LAMF",26,750000,2028-06-30,13,578,3,2.9,Germany,Germany,right,180,72,no
E. Peña Zauner,Marítimo,"LAMF, RAMF, RW",26,750000,2027-06-30,25,1154,4,3.79,Germany,"Germany, Venezuela",both,177,73,no
