Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
J. Salazar,Changchun Yatai,"LAMF, RAMF, LW",28,300000,2026-12-31,11,642,0,0.77,Colombia,Colombia,right,170,70,no
L. Ospina,Atlético Huila,"LCB, CB",35,300000,,20,1733,1,0.53,Colombia,Colombia,right,190,80,no
M. Ortega,,"AMF, RCMF, LW",35,300000,,14,637,0,0.4,Colombia,Colombia,right,172,70,no
Á. Rodríguez,,CF,37,300000,,29,2239,6,6.7,Colombia,Colombia,right,183,83,no
K. Salazar,Patriotas Boyacá,"LDMF, RCMF, LCMF",28,300000,,9,575,0,0.0,Colombia,Colombia,right,178,73,no
E. Serje,Deportivo Pasto,"RCB, RAMF",30,300000,,3,119,0,0.1,Colombia,"Colombia, Spain",right,180,72,no
I. Rossi,Danubio,"RCMF, LCMF, DMF",32,300000,2026-12-31,8,414,0,0.11,Argentina,"Argentina, Italy",left,183,75,no
R. Celis,Zamora,"RAMF, LAMF, LW",30,300000,2026-12-31,19,737,1,1.59,Venezuela,Venezuela,right,178,71,no
E. Aguirre,Defensores de Belgrano,"RAMF, LWF, RWB",34,300000,2026-12-31,9,189,0,0.18,Argentina,Argentina,right,155,53,no
J. Velásquez,Fortaleza,"AMF, LCMF, LWF",31,300000,,11,632,0,1.63,Colombia,Colombia,right,174,72,no
A. Plata,Deportivo Pereira,"RAMF, RW",35,300000,,16,1024,6,4.39,Colombia,Colombia,right,172,65,no
D. Lemos,,"LWF, RAMF, AMF",30,300000,,14,592,1,1.11,Colombia,Colombia,left,178,72,no
L. Saldaña,Alianza,LB,36,300000,,31,2855,2,1.02,Colombia,Colombia,left,171,66,no
S. Acosta,Deportivo Pereira,"RW, RAMF, LAMF",31,300000,,22,911,3,1.76,Colombia,Colombia,left,180,78,no
C. Pérez,,"RCB, CB, LCB",31,300000,,23,2046,0,0.36,Colombia,Colombia,right,185,79,no
Y. Congo,Unión Magdalena,"LDMF, RCMF, LCMF",28,300000,,21,1438,0,0.23,Colombia,Colombia,right,176,74,no
M. Medina,Llaneros U18,"LDMF, LCMF",29,300000,,44,2930,0,0.33,Colombia,Colombia,left,178,68,no
D. Palacio,Yelimay Semey,"LWB, LAMF, LW",29,300000,2026-12-31,26,1166,0,0.35,Colombia,Colombia,left,179,64,no
F. Meza,Llaneros,RCB,34,300000,,19,1794,0,0.31,Colombia,Colombia,right,184,79,no
G. Torres,Cúcuta Deportivo,"RAMF, LAMF, CF",30,300000,,18,978,2,2.18,Colombia,Colombia,right,181,78,no
Jeison Angulo,Santa Fe,LB,30,300000,2026-12-31,21,1609,0,1.18,Colombia,Colombia,left,184,74,no
A. Angulo,Tolima,"RCB, LCB",30,300000,,7,544,1,0.53,Colombia,Colombia,right,187,80,no
J. Lloreda,Deportes Quindío,"CF, LW, LAMF",31,300000,,25,1582,3,3.47,Colombia,Colombia,right,178,73,no
J. Castellanos,Deportivo La Guaira,"AMF, CF",30,300000,2026-12-31,27,1369,3,1.42,Venezuela,Venezuela,left,170,69,no
V. Hernández,,"LW, LAMF, AMF",37,300000,,48,3684,4,5.06,Colombia,Colombia,right,160,61,no
Dani Torres,Santa Fe,"RCMF, LCMF",36,300000,2026-12-31,17,854,0,0.34,Colombia,Colombia,right,183,84,no
A. Ricaurte,Águilas Doradas,"LCMF, LDMF, AMF",34,300000,,38,2831,1,0.46,Colombia,Colombia,left,182,75,no
R. Flores,Academia Puerto Cabello,"LAMF, LW, RAMF",28,300000,2026-12-31,25,2012,2,4.34,Venezuela,Venezuela,right,179,65,no
M. Rodas,Inter Bogotá,"RCB, LCB",28,300000,,32,3030,2,2.3,Colombia,Colombia,right,186,84,no
J. Viveros,,"LAMF, LW, RAMF",34,300000,,34,2799,6,5.24,Colombia,Colombia,right,176,70,no
E. Velasco,Deportivo Cali,LB,34,300000,2027-06-30,22,1815,1,0.28,Colombia,Colombia,left,179,75,no
D. Pabón,,"LAMF, RAMF, AMF",38,300000,,42,3353,9,9.02,Colombia,Colombia,right,168,72,no
A. Andrade,Nacional AM,"AMF, LAMF, LW",37,300000,,42,2433,4,4.75,Colombia,"Colombia, Mexico",right,183,73,no
D. Quiñones,Inter Bogotá,"DMF, RCMF, RDMF",25,300000,2027-06-30,34,2481,1,2.1,Colombia,Colombia,right,176,69,no
D. Luna,Mallorca,"AMF, LW, LAMF",23,300000,2028-06-30,23,1129,4,3.47,Colombia,Colombia,left,178,66,no
K. Mosquera,Cibao,RCB,26,300000,,2,103,0,0.0,Colombia,Colombia,right,187,79,no
A. Moralez,Llaneros,RCB,25,300000,2026-12-31,3,75,0,0.0,Colombia,Colombia,right,190,77,yes
J. Franco,,RB,24,300000,,12,712,0,0.0,Colombia,Colombia,right,178,70,no
J. Valencia,Tolima,CF,26,300000,2026-12-31,42,1571,7,8.37,Colombia,Colombia,left,188,80,no
J. Díaz,Boyacá Chicó,"RDMF, RCMF, LCMF",25,300000,,9,470,0,0.05,Colombia,Colombia,right,183,74,no
K. Moreno,Alianza,"RCB, LCB",25,300000,2026-12-31,8,538,0,0.14,Colombia,Colombia,right,187,87,no
J. Marcelin,Boyacá Chicó,"LAMF, LW, LB",26,300000,,30,1148,3,2.39,Colombia,Colombia,left,164,70,no
I. Camargo,Atlético Grau,"CF, RAMF, RW",26,300000,2027-06-30,19,765,2,1.49,Colombia,Colombia,right,176,69,yes
J. Mina,Internacional Palmira,RCB,26,300000,,17,1540,0,0.85,Colombia,Colombia,right,188,0,no
A. Simarra,Medellín,LCB,26,300000,2028-06-30,4,369,0,0.03,Colombia,Colombia,left,190,86,no
J. Hernández,Envigado,CF,33,275000,2027-12-31,42,3260,14,11.54,Venezuela,Venezuela,right,182,80,yes
M. Mier,Alianza,"AMF, LAMF, LW",35,275000,,39,2220,5,6.07,Uruguay,Uruguay,left,182,83,no
J. Mosquera,Tolima,"RWB, RB, RCB",26,275000,2027-12-31,44,4267,1,0.79,Colombia,Colombia,right,175,72,no
J. Peñaloza,,"LB, RAMF, RW",26,275000,,14,630,0,0.12,Colombia,Colombia,right,171,73,no
D. Bueno,Anzoátegui FC,RCB,25,275000,2026-12-31,2,46,0,0.0,Colombia,Colombia,right,190,85,no
S. Guzmán,Tolima,"LCMF, DMF, RCMF",29,250000,2028-06-30,9,286,0,0.0,Colombia,Colombia,right,186,76,no
R. Tavera,Bogotá,"LDMF, RDMF, RCMF",30,250000,,23,1088,0,0.06,Colombia,Colombia,right,174,67,no
D. Pino,Real Cartagena,"RCB, DMF, RCMF",30,250000,2026-12-31,22,1363,0,0.03,Colombia,Colombia,right,173,67,no
K. Salazar,,"AMF, LW, LAMF",30,250000,,17,496,3,1.34,Colombia,Colombia,right,170,68,no
